group,median,lower,upper,prob
white vs. non_white,0.031673480333090254,0.007313988494376394,0.05626285529129329,0.9940833333333333
male vs. female,0.02447959220340079,0.005515627570975368,0.043054389005262414,0.9951666666666666
younger vs. older,0.04082961920938258,0.01396996999336485,0.06760376477796308,0.9981666666666666
above_poverty vs. below_poverty,0.024353562886273605,0.004760234663546878,0.043664510405747134,0.9931666666666666
